NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
609,Liinaharja,Johanna Elina,,MM,Testiosoite 608,10607 Helsinki,etunimi.sukunimi.607@example.com,"Liinaharja, Johanna",Osakunnat,5,SatO-ESO2,14
610,Tuomi,Juho Valtteri,,K,Testiosoite 609,10608 Helsinki,etunimi.sukunimi.608@example.com,"Tuomi, Juho",Osakunnat,5,SatO-ESO2,15
611,Ritala,Kaisa Marika,,E,Testiosoite 610,10609 Helsinki,etunimi.sukunimi.609@example.com,"Ritala, Kaisa",Osakunnat,5,SatO-ESO2,16
612,Aalto-Setälä,Laura Katriina,,H,Testiosoite 611,10610 Helsinki,etunimi.sukunimi.610@example.com,"Aalto-Setälä, Laura",Osakunnat,5,SatO-ESO2,17
613,Laurén,Marika,,ML,Testiosoite 612,10611 Helsinki,etunimi.sukunimi.611@example.com,"Laurén, Marika",Osakunnat,5,SatO-ESO2,18
614,Alho,Markku Juhani,,V,Testiosoite 613,10612 Helsinki,etunimi.sukunimi.612@example.com,"Alho, Markku",Osakunnat,5,SatO-ESO2,19
615,Ilomäki,Miika Valtteri,,O,Testiosoite 614,10613 Helsinki,etunimi.sukunimi.613@example.com,"Ilomäki, Miika",Osakunnat,5,SatO-ESO2,20
616,Mäkipää,Mikko Tapani,,B,Testiosoite 615,10614 Helsinki,etunimi.sukunimi.614@example.com,"Mäkipää, Mikko",Osakunnat,5,SatO-ESO2,21
617,Heikintalo,Noora Marjaana,,T,Testiosoite 616,10615 Helsinki,etunimi.sukunimi.615@example.com,"Heikintalo, Noora",Osakunnat,5,SatO-ESO2,22
618,Sattilainen,Otso Ilmari,,L,Testiosoite 617,10616 Helsinki,etunimi.sukunimi.616@example.com,"Sattilainen, Otso",Osakunnat,5,SatO-ESO2,23
619,Alitalo,Tero Johannes,,MM,Testiosoite 618,10617 Helsinki,etunimi.sukunimi.617@example.com,"Alitalo, Tero",Osakunnat,5,SatO-ESO2,24
620,Häivälä,Timo Juhani,,K,Testiosoite 619,10618 Helsinki,etunimi.sukunimi.618@example.com,"Häivälä, Timo",Osakunnat,5,SatO-ESO2,25
621,Tamminen,Tuulia Paulina,,E,Testiosoite 620,10619 Helsinki,etunimi.sukunimi.619@example.com,"Tamminen, Tuulia",Osakunnat,5,SatO-ESO2,26
622,Rintanen,Tytti Inkeri,,H,Testiosoite 621,10620 Helsinki,etunimi.sukunimi.620@example.com,"Rintanen, Tytti",Osakunnat,5,SatO-ESO2,27
623,Parisianos,Veera Nikoletta,,ML,Testiosoite 622,10621 Helsinki,etunimi.sukunimi.621@example.com,"Parisianos, Veera",Osakunnat,5,SatO-ESO2,28
624,Ritala,Johanna Wilhelmiina,,V,Testiosoite 623,10622 Helsinki,etunimi.sukunimi.622@example.com,"Ritala, Wilhelmiina",Osakunnat,5,SatO-ESO2,29
625,Ilkka,Emma Josefiina,,O,Testiosoite 624,10623 Helsinki,etunimi.sukunimi.623@example.com,"Ilkka, Emma",Osakunnat,5,SatO-ESO2,30
626,Parkkari,Jussi-Pekka,,B,Testiosoite 625,10624 Helsinki,etunimi.sukunimi.624@example.com,"Parkkari, Jussi-Pekka",Osakunnat,5,SatO-ESO2,31
627,Karulinna,Karoliina Jounintytär,,T,Testiosoite 626,10625 Helsinki,etunimi.sukunimi.625@example.com,"Karulinna, Karoliina",Osakunnat,5,SatO-ESO2,32
628,Peltonen,Lauri Pekka,,L,Testiosoite 627,10626 Helsinki,etunimi.sukunimi.626@example.com,"Peltonen, Lauri 'Peltsi'",Osakunnat,5,SatO-ESO2,33
629,Lassila,Maria Sisko Helena,,MM,Testiosoite 628,10627 Helsinki,etunimi.sukunimi.627@example.com,"Lassila, Maria",Osakunnat,5,SatO-ESO2,34
630,Kauppinen,Mikael Uolevi Rikari,,K,Testiosoite 629,10628 Helsinki,etunimi.sukunimi.628@example.com,"Kauppinen, Mikael",Osakunnat,5,SatO-ESO2,35
631,Tiusanen,Otto Veikko Verneri,,E,Testiosoite 630,10629 Helsinki,etunimi.sukunimi.629@example.com,"Tiusanen, Otto",Osakunnat,5,SatO-ESO2,36
632,Lindfors,Pia Kristina,,H,Testiosoite 631,10630 Helsinki,etunimi.sukunimi.630@example.com,"Lindfors, Pia",Osakunnat,5,SatO-ESO2,37
633,Hatakka,Antti Sampsa Johannes,,ML,Testiosoite 632,10631 Helsinki,etunimi.sukunimi.631@example.com,"Hatakka, Sampsa",Osakunnat,5,SatO-ESO2,38
634,Sulkamo,Saramia Maria,,V,Testiosoite 633,10632 Helsinki,etunimi.sukunimi.632@example.com,"Sulkamo, Saramia",Osakunnat,5,SatO-ESO2,39
635,Adler,Taru Sinikka,,O,Testiosoite 634,10633 Helsinki,etunimi.sukunimi.633@example.com,"Adler, Taru",Osakunnat,5,SatO-ESO2,40
636,Hillukkala,Tuomas Juha Tapani,,B,Testiosoite 635,10634 Helsinki,etunimi.sukunimi.634@example.com,"Hillukkala, Tuomas 'Juomas'",Osakunnat,5,SatO-ESO2,41
637,Wäre,Tuomas Risto,,T,Testiosoite 636,10635 Helsinki,etunimi.sukunimi.635@example.com,"Wäre, Tuomas",Osakunnat,5,SatO-ESO2,42
638,Aitosalo,Veikko Olavi,,L,Testiosoite 637,10636 Helsinki,etunimi.sukunimi.636@example.com,"Aitosalo, Veikko",Osakunnat,5,SatO-ESO2,43
639,Saarelainen,Antti Juhani,,MM,Testiosoite 638,10637 Helsinki,etunimi.sukunimi.637@example.com,"Saarelainen, Antti",Osakunnat,6,Domus Gaudiumin osakunnat,1
640,Ahtonen,Hanna Riikka,,K,Testiosoite 639,10638 Helsinki,etunimi.sukunimi.638@example.com,"Ahtonen, Hanna",Osakunnat,6,Domus Gaudiumin osakunnat,2
641,Eskelinen,Juho Pekka Aleksi,,E,Testiosoite 640,10639 Helsinki,etunimi.sukunimi.639@example.com,"Eskelinen, Juho",Osakunnat,6,Domus Gaudiumin osakunnat,3
642,Tiainen,Nelli Eveliina,,H,Testiosoite 641,10640 Helsinki,etunimi.sukunimi.640@example.com,"Tiainen, Nelli",Osakunnat,6,Domus Gaudiumin osakunnat,4
643,Tanskanen,Noora Anniina,,ML,Testiosoite 642,10641 Helsinki,etunimi.sukunimi.641@example.com,"Tanskanen, Noora",Osakunnat,6,Domus Gaudiumin osakunnat,5
644,Torvinen,Pekka Juho Henrik,,V,Testiosoite 643,10642 Helsinki,etunimi.sukunimi.642@example.com,"Torvinen, Pekka",Osakunnat,6,Domus Gaudiumin osakunnat,6
645,Rantala,Samuli Waldemar,,O,Testiosoite 644,10643 Helsinki,etunimi.sukunimi.643@example.com,"Rantala, Samuli",Osakunnat,6,Domus Gaudiumin osakunnat,7
646,Nousiainen,Taru Susanna,,B,Testiosoite 645,10644 Helsinki,etunimi.sukunimi.644@example.com,"Nousiainen, Taru",Osakunnat,6,Domus Gaudiumin osakunnat,8
647,Meriläinen,Teemu Samuel,,T,Testiosoite 646,10645 Helsinki,etunimi.sukunimi.645@example.com,"Meriläinen, Teemu",Osakunnat,6,Domus Gaudiumin osakunnat,9
648,Kiviranta,Tuure Tapio,,L,Testiosoite 647,10646 Helsinki,etunimi.sukunimi.646@example.com,"Kiviranta, Tuure",Osakunnat,6,Domus Gaudiumin osakunnat,10
649,Mänttäri,Antti Erik,,MM,Testiosoite 648,10647 Helsinki,etunimi.sukunimi.647@example.com,"Mänttäri, Antti",Osakunnat,6,Domus Gaudiumin osakunnat,11
650,Kiiski,Essi Ida Anniina,,K,Testiosoite 649,10648 Helsinki,etunimi.sukunimi.648@example.com,"Kiiski, Essi",Osakunnat,6,Domus Gaudiumin osakunnat,12
651,Kössi,Liisa Hanna-Maria,,E,Testiosoite 650,10649 Helsinki,etunimi.sukunimi.649@example.com,"Kössi, Hanna-Maria 'Hannis'",Osakunnat,6,Domus Gaudiumin osakunnat,13
652,Luoto,Heikki Juhani,,H,Testiosoite 651,10650 Helsinki,etunimi.sukunimi.650@example.com,"Luoto, Heikki",Osakunnat,6,Domus Gaudiumin osakunnat,14
653,Rainamaa,Jussi Petteri,,ML,Testiosoite 652,10651 Helsinki,etunimi.sukunimi.651@example.com,"Rainamaa, Jussi",Osakunnat,6,Domus Gaudiumin osakunnat,15
654,Salonen,Marleena Meri-Tuulia,,V,Testiosoite 653,10652 Helsinki,etunimi.sukunimi.652@example.com,"Salonen, Marleena",Osakunnat,6,Domus Gaudiumin osakunnat,16
655,Laaksonen,Mikko Olavi,,O,Testiosoite 654,10653 Helsinki,etunimi.sukunimi.653@example.com,"Laaksonen, Mikko",Osakunnat,6,Domus Gaudiumin osakunnat,17
656,Ahtosalo,Milja Sinituulia,,B,Testiosoite 655,10654 Helsinki,etunimi.sukunimi.654@example.com,"Ahtosalo, Milja",Osakunnat,6,Domus Gaudiumin osakunnat,18
657,Nöjd,Riku Santtu Rainer,,T,Testiosoite 656,10655 Helsinki,etunimi.sukunimi.655@example.com,"Nöjd, Riku",Osakunnat,6,Domus Gaudiumin osakunnat,19
658,Mäkelä,Teemu Olavi,,L,Testiosoite 657,10656 Helsinki,etunimi.sukunimi.656@example.com,"Mäkelä, Teemu",Osakunnat,6,Domus Gaudiumin osakunnat,20
659,Laine,Timo Johannes,,MM,Testiosoite 658,10657 Helsinki,etunimi.sukunimi.657@example.com,"Laine, Timo",Osakunnat,6,Domus Gaudiumin osakunnat,21
660,Kähö,Anna Katriina,,K,Testiosoite 659,10658 Helsinki,etunimi.sukunimi.658@example.com,"Kähö, Anna",Osakunnat,6,Domus Gaudiumin osakunnat,22
661,Hänninen,Annamaria Janita,,E,Testiosoite 660,10659 Helsinki,etunimi.sukunimi.659@example.com,"Hänninen, Annamaria",Osakunnat,6,Domus Gaudiumin osakunnat,23
662,Mäkeläinen,Anni Katariina,,H,Testiosoite 661,10660 Helsinki,etunimi.sukunimi.660@example.com,"Mäkeläinen, Anni",Osakunnat,6,Domus Gaudiumin osakunnat,24
663,Tuovinen,Anssi Tapani,,ML,Testiosoite 662,10661 Helsinki,etunimi.sukunimi.661@example.com,"Tuovinen, Anssi",Osakunnat,6,Domus Gaudiumin osakunnat,25
664,Puolakka,Aura Iida Maria,,V,Testiosoite 663,10662 Helsinki,etunimi.sukunimi.662@example.com,"Puolakka, Aura",Osakunnat,6,Domus Gaudiumin osakunnat,26
665,Mattero,Elina Riina Anniina,,O,Testiosoite 664,10663 Helsinki,etunimi.sukunimi.663@example.com,"Mattero, Elina",Osakunnat,6,Domus Gaudiumin osakunnat,27
666,Ronkainen,Emma Saima Loviisa,,B,Testiosoite 665,10664 Helsinki,etunimi.sukunimi.664@example.com,"Ronkainen, Emma",Osakunnat,6,Domus Gaudiumin osakunnat,28
667,Pilhjerta,Emmi Helena,,T,Testiosoite 666,10665 Helsinki,etunimi.sukunimi.665@example.com,"Pilhjerta, Emmi",Osakunnat,6,Domus Gaudiumin osakunnat,29
668,Suonio,Jenna Suvi Elina,,L,Testiosoite 667,10666 Helsinki,etunimi.sukunimi.666@example.com,"Suonio, Jenna",Osakunnat,6,Domus Gaudiumin osakunnat,30
669,Hämäläinen,Johanna Marjukka,,MM,Testiosoite 668,10667 Helsinki,etunimi.sukunimi.667@example.com,"Hämäläinen, Johanna",Osakunnat,6,Domus Gaudiumin osakunnat,31
670,Louhiranta,Juha Aleksi,,K,Testiosoite 669,10668 Helsinki,etunimi.sukunimi.668@example.com,"Louhiranta, Juha",Osakunnat,6,Domus Gaudiumin osakunnat,32
671,Lipponen,Katriina Hannele,,E,Testiosoite 670,10669 Helsinki,etunimi.sukunimi.669@example.com,"Lipponen, Katriina",Osakunnat,6,Domus Gaudiumin osakunnat,33
672,Väisänen,Laura Maria,,H,Testiosoite 671,10670 Helsinki,etunimi.sukunimi.670@example.com,"Väisänen, Laura",Osakunnat,6,Domus Gaudiumin osakunnat,34
673,Ahonen,Lauri Reino Antero,,ML,Testiosoite 672,10671 Helsinki,etunimi.sukunimi.671@example.com,"Ahonen, Lauri",Osakunnat,6,Domus Gaudiumin osakunnat,35
674,Laamanen,Maiju Henriikka,,V,Testiosoite 673,10672 Helsinki,etunimi.sukunimi.672@example.com,"Laamanen, Maiju",Osakunnat,6,Domus Gaudiumin osakunnat,36
675,Nauha,Matti Tapani,,O,Testiosoite 674,10673 Helsinki,etunimi.sukunimi.673@example.com,"Nauha, Matti",Osakunnat,6,Domus Gaudiumin osakunnat,37
676,Mustonen,Melissa Anu Maria,,B,Testiosoite 675,10674 Helsinki,etunimi.sukunimi.674@example.com,"Mustonen, Melissa",Osakunnat,6,Domus Gaudiumin osakunnat,38
677,Tikkanen,Olli-Pekka,,T,Testiosoite 676,10675 Helsinki,etunimi.sukunimi.675@example.com,"Tikkanen, Olli-Pekka",Osakunnat,6,Domus Gaudiumin osakunnat,39
678,Sutinen,Pekka Tapio,,L,Testiosoite 677,10676 Helsinki,etunimi.sukunimi.676@example.com,"Sutinen, Pekka",Osakunnat,6,Domus Gaudiumin osakunnat,40
679,Kosonen,Sanna Katriina,,MM,Testiosoite 678,10677 Helsinki,etunimi.sukunimi.677@example.com,"Kosonen, Sanna",Osakunnat,6,Domus Gaudiumin osakunnat,41
680,Liiri,Tiina Anni Emilia,,K,Testiosoite 679,10678 Helsinki,etunimi.sukunimi.678@example.com,"Liiri, Tiina",Osakunnat,6,Domus Gaudiumin osakunnat,43
681,Peuhkuri,Ulla Riina,,E,Testiosoite 680,10679 Helsinki,etunimi.sukunimi.679@example.com,"Peuhkuri, Ulla",Osakunnat,6,Domus Gaudiumin osakunnat,44
682,Ranki,Vuokko Johanna,,H,Testiosoite 681,10680 Helsinki,etunimi.sukunimi.680@example.com,"Ranki, Vuokko",Osakunnat,6,Domus Gaudiumin osakunnat,45
683,Appelberg,Allan,,ML,Testiosoite 682,10681 Helsinki,etunimi.sukunimi.681@example.com,"Appelberg, Allan",Osakunnat,7,EPO,1
684,Perälä,Anna Vilhelmiina,,V,Testiosoite 683,10682 Helsinki,etunimi.sukunimi.682@example.com,"Perälä, Anna",Osakunnat,7,EPO,3
685,Nummi,Anna-Riikka Maria,,O,Testiosoite 684,10683 Helsinki,etunimi.sukunimi.683@example.com,"Nummi, Anna-Riikka",Osakunnat,7,EPO,4
686,Brandt,Annika Mariel,,B,Testiosoite 685,10684 Helsinki,etunimi.sukunimi.684@example.com,"Brandt, Annika",Osakunnat,7,EPO,5
687,Kukkola,Emilia Karoliina,,T,Testiosoite 686,10685 Helsinki,etunimi.sukunimi.685@example.com,"Kukkola, Emilia",Osakunnat,7,EPO,6
688,Savolainen,Hannu Pentti,,L,Testiosoite 687,10686 Helsinki,etunimi.sukunimi.686@example.com,"Savolainen, Hannu",Osakunnat,7,EPO,7
689,Ala-Mikkula,Heidi Emilia,,MM,Testiosoite 688,10687 Helsinki,etunimi.sukunimi.687@example.com,"Ala-Mikkula, Heidi",Osakunnat,7,EPO,8
690,Hemminki,Heidi Hilja Kristiina,,K,Testiosoite 689,10688 Helsinki,etunimi.sukunimi.688@example.com,"Hemminki, Heidi",Osakunnat,7,EPO,9
691,Pirttinen,Heli Susanna,,E,Testiosoite 690,10689 Helsinki,etunimi.sukunimi.689@example.com,"Pirttinen, Heli",Osakunnat,7,EPO,10
692,Ruotsalainen,Henri Tuomas,,H,Testiosoite 691,10690 Helsinki,etunimi.sukunimi.690@example.com,"Ruotsalainen, Henri",Osakunnat,7,EPO,11
693,Virta,Henri Tuomas Leonard,,ML,Testiosoite 692,10691 Helsinki,etunimi.sukunimi.691@example.com,"Virta, Henri",Osakunnat,7,EPO,12
694,Harmanen,Ilona Taru Talvikki,,V,Testiosoite 693,10692 Helsinki,etunimi.sukunimi.692@example.com,"Harmanen, Ilona",Osakunnat,7,EPO,13
695,Kangas,Jaakko Hermanni Antinpoika,,O,Testiosoite 694,10693 Helsinki,etunimi.sukunimi.693@example.com,"Kangas, Jaakko",Osakunnat,7,EPO,14
696,Latva-Nikkola,Jani Iisakki,,B,Testiosoite 695,10694 Helsinki,etunimi.sukunimi.694@example.com,"Latva-Nikkola, Jani",Osakunnat,7,EPO,15
697,Kohtamäki,Janne Pentti Matias,,T,Testiosoite 696,10695 Helsinki,etunimi.sukunimi.695@example.com,"Kohtamäki, Janne",Osakunnat,7,EPO,16
698,Mäntykoski,Jenni Elina,,L,Testiosoite 697,10696 Helsinki,etunimi.sukunimi.696@example.com,"Mäntykoski, Jenni",Osakunnat,7,EPO,17
699,Haapamäki,Johanna Maria Helena,,MM,Testiosoite 698,10697 Helsinki,etunimi.sukunimi.697@example.com,"Haapamäki, Johanna",Osakunnat,7,EPO,18
700,Harju,Juhana Henrikki,,K,Testiosoite 699,10698 Helsinki,etunimi.sukunimi.698@example.com,"Harju, Juhana",Osakunnat,7,EPO,19
701,Haataja,Joni Onni Antero,,E,Testiosoite 700,10699 Helsinki,etunimi.sukunimi.699@example.com,"Haataja, Joni",Osakunnat,7,EPO,20
702,Dahlman,Katarina,,H,Testiosoite 701,10700 Helsinki,etunimi.sukunimi.700@example.com,"Dahlman, Katarina",Osakunnat,7,EPO,21
703,Meriläinen,Katja Kristiina,,ML,Testiosoite 702,10701 Helsinki,etunimi.sukunimi.701@example.com,"Meriläinen, Katja",Osakunnat,7,EPO,22
704,Rantakokko,Kirsimarja,,V,Testiosoite 703,10702 Helsinki,etunimi.sukunimi.702@example.com,"Rantakokko, Kirsimarja",Osakunnat,7,EPO,23
705,Anttila,Laura Matilda,,O,Testiosoite 704,10703 Helsinki,etunimi.sukunimi.703@example.com,"Anttila, Laura",Osakunnat,7,EPO,24
706,Isoniemi,Laura Elisabeth,,B,Testiosoite 705,10704 Helsinki,etunimi.sukunimi.704@example.com,"Isoniemi, Laura",Osakunnat,7,EPO,25
707,Leppilahti,Laura Katariina,,T,Testiosoite 706,10705 Helsinki,etunimi.sukunimi.705@example.com,"Leppilahti, Laura",Osakunnat,7,EPO,26
708,Mursu,Laura Susanna,,L,Testiosoite 707,10706 Helsinki,etunimi.sukunimi.706@example.com,"Mursu, Laura",Osakunnat,7,EPO,27
709,Furu,Leena Veronica,,MM,Testiosoite 708,10707 Helsinki,etunimi.sukunimi.707@example.com,"Furu, Leena",Osakunnat,7,EPO,28
710,Kurjenluoma,Leena Alisa,,K,Testiosoite 709,10708 Helsinki,etunimi.sukunimi.708@example.com,"Kurjenluoma, Leena",Osakunnat,7,EPO,29
711,Pihlajamäki,Leena Anneli,,E,Testiosoite 710,10709 Helsinki,etunimi.sukunimi.709@example.com,"Pihlajamäki, Leena",Osakunnat,7,EPO,30
712,Kurkela,Maria Sofia,,H,Testiosoite 711,10710 Helsinki,etunimi.sukunimi.710@example.com,"Kurkela, Maria",Osakunnat,7,EPO,31
713,Mäenpää,Marja Helena,,ML,Testiosoite 712,10711 Helsinki,etunimi.sukunimi.711@example.com,"Mäenpää, Marja",Osakunnat,7,EPO,32
714,Hakola,Marjo Riikka,,V,Testiosoite 713,10712 Helsinki,etunimi.sukunimi.712@example.com,"Hakola, Marjo",Osakunnat,7,EPO,33
715,Hietala,Miina Kaisa Hannele,,O,Testiosoite 714,10713 Helsinki,etunimi.sukunimi.713@example.com,"Hietala, Miina",Osakunnat,7,EPO,34
716,Latva-Somppi,Minna Liisa Kaarina,,B,Testiosoite 715,10714 Helsinki,etunimi.sukunimi.714@example.com,"Latva-Somppi, Minna",Osakunnat,7,EPO,35
717,Pitkäranta,Nina Pauliina,,T,Testiosoite 716,10715 Helsinki,etunimi.sukunimi.715@example.com,"Pitkäranta, Nina",Osakunnat,7,EPO,37
718,Karppi,Noora Justiina,,L,Testiosoite 717,10716 Helsinki,etunimi.sukunimi.716@example.com,"Karppi, Noora",Osakunnat,7,EPO,38
719,Ala-Fossi,Olli Juhani,,MM,Testiosoite 718,10717 Helsinki,etunimi.sukunimi.717@example.com,"Ala-Fossi, Olli",Osakunnat,7,EPO,39
720,Hemminki,Olli Tapani,,K,Testiosoite 719,10718 Helsinki,etunimi.sukunimi.718@example.com,"Hemminki, Olli",Osakunnat,7,EPO,40
721,Nokso-Koivisto,Olli Sakari,,E,Testiosoite 720,10719 Helsinki,etunimi.sukunimi.719@example.com,"Nokso-Koivisto, Olli",Osakunnat,7,EPO,41
722,Raivio,Markku Antti Oskari,,H,Testiosoite 721,10720 Helsinki,etunimi.sukunimi.720@example.com,"Raivio, Oskari",Osakunnat,7,EPO,42
723,Surma-aho,Outi Katariina,,ML,Testiosoite 722,10721 Helsinki,etunimi.sukunimi.721@example.com,"Surma-aho, Outi",Osakunnat,7,EPO,43
724,Kahila,Paula Kaarina,,V,Testiosoite 723,10722 Helsinki,etunimi.sukunimi.722@example.com,"Kahila, Paula",Osakunnat,7,EPO,44
725,Rokkila,Marja Pauliina,,O,Testiosoite 724,10723 Helsinki,etunimi.sukunimi.723@example.com,"Rokkila, Pauliina",Osakunnat,7,EPO,45
726,Latvala,Reetta Loviisa,,B,Testiosoite 725,10724 Helsinki,etunimi.sukunimi.724@example.com,"Latvala, Reetta",Osakunnat,7,EPO,46
727,Kaarto,Riikka Karoliina,,T,Testiosoite 726,10725 Helsinki,etunimi.sukunimi.725@example.com,"Kaarto, Riikka",Osakunnat,7,EPO,47
728,Kaila,Riikka Eveliina,,L,Testiosoite 727,10726 Helsinki,etunimi.sukunimi.726@example.com,"Kaila, Riikka",Osakunnat,7,EPO,48
729,Mäntykoski,Saara Maria,,MM,Testiosoite 728,10727 Helsinki,etunimi.sukunimi.727@example.com,"Mäntykoski, Saara",Osakunnat,7,EPO,49
730,Kääriäinen,Sami Aarne,,K,Testiosoite 729,10728 Helsinki,etunimi.sukunimi.728@example.com,"Kääriäinen, Sami",Osakunnat,7,EPO,50
731,Sjöblom,Sampo Jaakko Kalevi,,E,Testiosoite 730,10729 Helsinki,etunimi.sukunimi.729@example.com,"Sjöblom, Sampo",Osakunnat,7,EPO,51
732,Haavisto,Suvi Maarit,,H,Testiosoite 731,10730 Helsinki,etunimi.sukunimi.730@example.com,"Haavisto, Suvi",Osakunnat,7,EPO,52
733,Ojala,Suvi Annikki,,ML,Testiosoite 732,10731 Helsinki,etunimi.sukunimi.731@example.com,"Ojala, Suvi",Osakunnat,7,EPO,53
734,Hietamäki,Tapio Henrik,,V,Testiosoite 733,10732 Helsinki,etunimi.sukunimi.732@example.com,"Hietamäki, Tapio",Osakunnat,7,EPO,54
735,Kallio,Tapio Jaakko,,O,Testiosoite 734,10733 Helsinki,etunimi.sukunimi.733@example.com,"Kallio, Tapio",Osakunnat,7,EPO,55
736,Koskiniemi,Teemu Jaakko,,B,Testiosoite 735,10734 Helsinki,etunimi.sukunimi.734@example.com,"Koskiniemi, Teemu",Osakunnat,7,EPO,56
737,Tuurihalme,Timo Jaakko Martti,,T,Testiosoite 736,10735 Helsinki,etunimi.sukunimi.735@example.com,"Tuurihalme, Timo",Osakunnat,7,EPO,58
738,Pennala,Tuomas Antti Ilmari,,L,Testiosoite 737,10736 Helsinki,etunimi.sukunimi.736@example.com,"Pennala, Tuomas",Osakunnat,7,EPO,59
739,Raivio,Ville Mikael,,MM,Testiosoite 738,10737 Helsinki,etunimi.sukunimi.737@example.com,"Raivio, Ville",Osakunnat,7,EPO,60
740,Kotisaari,Anna Maria,,K,Testiosoite 739,10738 Helsinki,etunimi.sukunimi.738@example.com,"Kotisaari, Anna",Osakunnat,8,PPO,1
741,Ruotsala,Anni-Helena,,E,Testiosoite 740,10739 Helsinki,etunimi.sukunimi.739@example.com,"Ruotsala, Anni-Helena",Osakunnat,8,PPO,2
742,Ervasti,Anri Maarit,,H,Testiosoite 741,10740 Helsinki,etunimi.sukunimi.740@example.com,"Ervasti, Anri",Osakunnat,8,PPO,3
743,Ojala,Antti Heikki Johannes,,ML,Testiosoite 742,10741 Helsinki,etunimi.sukunimi.741@example.com,"Ojala, Antti",Osakunnat,8,PPO,4
744,Viikinkoski,Arttu,,V,Testiosoite 743,10742 Helsinki,etunimi.sukunimi.742@example.com,"Viikinkoski, Arttu",Osakunnat,8,PPO,5
745,Pape,Christopher David,,O,Testiosoite 744,10743 Helsinki,etunimi.sukunimi.743@example.com,"Pape, Chris",Osakunnat,8,PPO,6
746,Lapinoja,Elina Kaarina,,B,Testiosoite 745,10744 Helsinki,etunimi.sukunimi.744@example.com,"Lapinoja, Elina",Osakunnat,8,PPO,7
747,Viren,Hanna Elisa,,T,Testiosoite 746,10745 Helsinki,etunimi.sukunimi.745@example.com,"Viren, Hanna",Osakunnat,8,PPO,8
748,Jokela,Ida-Reetta Johanna,,L,Testiosoite 747,10746 Helsinki,etunimi.sukunimi.746@example.com,"Jokela, Ida-Reetta",Osakunnat,8,PPO,9
749,Kampman,Iiro Joonas,,MM,Testiosoite 748,10747 Helsinki,etunimi.sukunimi.747@example.com,"Kampman, Iiro",Osakunnat,8,PPO,10
750,Kauma,Iiro Mikko Ilmari,,K,Testiosoite 749,10748 Helsinki,etunimi.sukunimi.748@example.com,"Kauma, Iiro",Osakunnat,8,PPO,11
751,Kavén,Jenni Emilia,,E,Testiosoite 750,10749 Helsinki,etunimi.sukunimi.749@example.com,"Kavén, Jenni",Osakunnat,8,PPO,12
752,Sepponen,Jenni Emilia,,H,Testiosoite 751,10750 Helsinki,etunimi.sukunimi.750@example.com,"Sepponen, Jenni",Osakunnat,8,PPO,13
753,Hyry,Jonna Marika,,ML,Testiosoite 752,10751 Helsinki,etunimi.sukunimi.751@example.com,"Hyry, Jonna",Osakunnat,8,PPO,14
754,Huotari,Joonas Kalle,,V,Testiosoite 753,10752 Helsinki,etunimi.sukunimi.752@example.com,"Huotari, Joonas",Osakunnat,8,PPO,15
755,Seppänen,Katja Hannele,,O,Testiosoite 754,10753 Helsinki,etunimi.sukunimi.753@example.com,"Seppänen, Katja",Osakunnat,8,PPO,16
756,Ansamaa,Laura Johanna,,B,Testiosoite 755,10754 Helsinki,etunimi.sukunimi.754@example.com,"Ansamaa, Laura",Osakunnat,8,PPO,17
757,Haikola,Lauri Antero,,T,Testiosoite 756,10755 Helsinki,etunimi.sukunimi.755@example.com,"Haikola, Lauri",Osakunnat,8,PPO,18
758,Heilala,Lauri Kullervo,,L,Testiosoite 757,10756 Helsinki,etunimi.sukunimi.756@example.com,"Heilala, Lauri 'Late'",Osakunnat,8,PPO,19
759,Sivula,Lauri Eero Mikael,,MM,Testiosoite 758,10757 Helsinki,etunimi.sukunimi.757@example.com,"Sivula, Lauri",Osakunnat,8,PPO,20
760,Huotari,Sanna Mari,,K,Testiosoite 759,10758 Helsinki,etunimi.sukunimi.758@example.com,"Huotari, Mari",Osakunnat,8,PPO,21
761,Huhtaniemi,Lisa Marianna,,E,Testiosoite 760,10759 Helsinki,etunimi.sukunimi.759@example.com,"Huhtaniemi, Marianna",Osakunnat,8,PPO,22
762,Sutinen,Marjo Johanna,,H,Testiosoite 761,10760 Helsinki,etunimi.sukunimi.760@example.com,"Sutinen, Marjo",Osakunnat,8,PPO,23
763,Kähkönen,Mervi Helena,,ML,Testiosoite 762,10761 Helsinki,etunimi.sukunimi.761@example.com,"Kähkönen, Mervi",Osakunnat,8,PPO,24
764,Kunnari,Mikko Olavi Johannes,,V,Testiosoite 763,10762 Helsinki,etunimi.sukunimi.762@example.com,"Kunnari, Mikko",Osakunnat,8,PPO,25
765,Tervonen,Minna Johanna,,O,Testiosoite 764,10763 Helsinki,etunimi.sukunimi.763@example.com,"Tervonen, Minna",Osakunnat,8,PPO,26
766,Rantakeisu,Mira Johanna,,B,Testiosoite 765,10764 Helsinki,etunimi.sukunimi.764@example.com,"Rantakeisu, Mira",Osakunnat,8,PPO,27
767,Latvakoski,Niko Matias,,T,Testiosoite 766,10765 Helsinki,etunimi.sukunimi.765@example.com,"Latvakoski, Niko",Osakunnat,8,PPO,28
